* A * (14)

Martins Ferry, Ohio, USA                                   591,737*
Massillon, Ohio                                            576,738*
Melbourne, Australia                                      1885,286*
Melbourne, Florida, USA                                    577,667*
Memphis, Tennessee, USA                                    526,711*
Middletown, Ohio, USA                                      570,725*
Milano, Italy                                             1094,764*
Milazzo, Sicilia, Italia                                  1125,727*
Minneapolis, Minnesota, USA                                507,761*
Molde, Norway                                             1085,867*
Montevideo, Uruguay                                        729,304*
Montreal, Quebec, Canada                                   618,769*
Morata de Taju¤a, Espa¤a                                  1025,732*
Moscow, Russia                                            1269,827*
Munich, Germany                                           1096,772*

* N * (15)

Naestved, Denmark                                         1108,819*
Napa, California                                           339,720*
Navarre, Florida, USA                                      541,686*
Neckarzimmern, Germany                                    1083,790*
Neptune, NJ, USA                                           459,790*
Newcastle, Australia                                      1925,316*
Newport News, Virginia, USA                                605,720*
New York                                                   619,738*
Nidda, Germany                                            1085,790*
Nittendorf, Germany                                       1106,781*
Noordwijk, The Netherlands                                1066,809*
Norrahammar, Sweden                                       1119,839*
Norwich, Norfolk, UK                                      1055,806*
Novopolock, Belarus                                       1211,822*
Novosibirsk, Russia                                       1511,797*

* O * (12)

Oklahoma City, Oklahoma, USA                               480,711*
Oldenburg, Germany                                        1081,809*
Oliver, British Columbia, Canada                           342,792*
Omaha, Nebraska                                            510,736*
Omsk, Russia                                              1466,834*
Oostzaan, The Netherlands                                 1069,810*
Orel, Russia                                              1255,816*
Orenburg, Russia                                          1356,805*
Oslo, Norway                                              1102,849*
Ostersund, Sweden                                         1132,876*
Oulu, Finland                                             1189,877*
Oviedo, Espa¤a                                            1019,753*

* P * (17)

Padang, West Sumatra, Indonesia                           1627,493*
Palo Alto, California                                      334,723*
Paris, France                                             1059,782*
Patrick Springs, Virginia, USA                             582,707*
Pavia, Italy                                              1094,762*
Peach Orchard, MO, USA                                     523,719*
Perth, Western Australia                                  1713,312*
Pittsburgh, Western Pennsylvania, USA                      588,741*
Pivka, Slovenia                                           1128,765*
Phoenix, AZ, USA                                           398,699*
Polock, Belarus                                           1205,820*
Poplar, Wisconsin, USA                                     513,776*
Portland, Oregon, USA                                      334,767*
Porto Alegre, Rio Grande do Sul, Brazil                    757,336*
Pretoria, South Africa                                    1198,358*
Pskov, Russia                                             1205,837*
Putten, The Netherlands                                   1064,791*

* Q * (1)

Quebec, Canada                                             634,773*

* R * (14)

Raymond, New Hampshire                                     643,765*
Redcliffe, Queensland, Australia                          1935,343*
Regina, Saskatchewan, Canada                               443,802*
Reno, Nevada, USA                                          353,729*
Rheinbach, Germany                                        1112,799*
Ribeirao Pires, Brasil                                     786,370*
Richmond, Texas, USA                                       494,673*
Riga, Latvia                                              1184,829*
Rio de Janeiro, Brasil                                     801,373*
Rochester, MN, USA                                         501,755*
Rome, Italy                                               1118,746*
Ronda, Malaga, Espa¤a                                     1022,718*
Rotterdam, The Netherlands                                1065,804*
Royal Oak, Michigan                                        565,747*

* S * (30)

Salcedo, Republica Dominicana                              643,614*
Salt Lake City, Utah                                       397,739*
Samara, Russia                                            1331,814*
San Diego, California, USA                                 367,694*
Sandy, Utah, USA                                           390,738*
San Francisco, California                                  332,726*
San Jose, California, USA                                  349,707*
Santiago de Chile                                          635,310*
Santiago de Compostela, Espa¤a                            1002,750*
Sao Jose dos Campos, Brasil                                786,372*
Sao Paulo, Brasil                                          784,373*
Scottsdale, AZ, USA                                        400,696*
Seattle, Washington                                        338,780*
Seoul, South Korea                                        1783,718*
Sevilla, Espa¤a                                           1015,721*
Sydney, New South Wales                                   1919,308*
Singapore                                                 1645,509*
Skien, South Norway                                       1098,845*
Spiez, Switzerland                                        1092,778*
Springfield, Ohio, USA                                     570,726*
Stavanger, Norway                                         1073,842*
Steger, IL                                                 538,741*
Sterksel, The Netherlands                                 1056,790*
St. George, Utah, USA                                      378,724*
St. Louis, Missouri                                        523,731*
St. Petersburg, Russia                                    1216,847*
Stockholm, Sweden                                         1146,848*
Stow, Massachusetts, USA                                   634,749*
Stuttgart, Germany                                        1104,785*
Sumrall, MS, USA                                           528,685*

* T * (16)

Taichung, Taiwan, ROC                                     1743,644*
Tarko-Sale, Russia                                        1487,878*
Taufkirchen, Germany                                      1098,773*
Telde, Espa¤a                                              961,664*
Terrasa, Espa¤a                                           1050,742*
Thessaloniki, Greece                                      1171,741*
Thousand Oaks, California, USA                             350,708*
Tokio,Japan                                               1857,709*
Tomsk, Russia                                             1426,827*
Torino, Piemonte, Italia                                  1089,768*
Toronto, Canada                                            582,758*
Townsville, Australia                                     1896,390*
Trondheim, Norway                                         1105,873*
Trumbull, Southwestern Connecticut                         627,740*
Tula, Russia                                              1257,821*
Tustin, Los Angeles, USA                                   372,690*

* U * (2)

Umea, North Sweden                                        1155,869*
Uppsala, Sweden                                           1122,861*

* V * (10)

Valencia, Espa¤a                                          1048,734*
Vamos, Crete, Greece                                      1181,708*
Vancouver, BC, Canada                                      321,785*
Vigo, Espa¤a                                              1001,747*
Vila Real, Portugal                                       1006,739*
Villafranca, Italy                                        1101,763*
Vitebsk, Belarus                                          1227,813*
Volhov, Russia                                            1228,851*
Volzhsky, Russia                                          1303,789*
Voronezh, Russia                                          1279,786*

* W * (12)

Waltham, Mass. USA                                         636,753*
Washington DC, USA                                         607,731*
Waxhaw, North Carolina, USA                                578,716*
Wesel, Germany                                            1086,790*
Whitehorse, Canada                                         261,870*
Wichita, Kansas, USA                                       482,725*
Wien, Austria                                             1130,778*
Williamson, West Virginia, USA                             579,720*
Williamsville, New York, USA                               596,752*
Wilmington, Delaware, USA                                  617,735*
Winnipeg, Manitoba, Canada                                 484,790*
Wurzburg, Germany                                         1093,791*

* Y * (2)

Yorktown, Virginia, USA                                    607,719*
Youngstown, Alberta, Canada                                402,812*

* Z * (3)

Zaragoza, Espa¤a                                          1042,744*
Zagreb, Croatia                                           1129,765*
Zug, Switzerland                                          1081,797*
